1.482	13.131	0.028	12.208	0.011	11.321	0.018	10.966	0.021
1.367	13.623	0.022	12.693	0.012	11.77	0.021	11.406	0.023
1.566	13.457	0.037	12.299	0.021	11.232	0.042	10.787	0.045
1.595	13.134	0.025	12.005	0.017	11.038	0.017	10.598	0.02
1.553	13.175	0.052	12.156	0.021	11.226	0.02	10.824	0.029
1.199	14.414	0.045	13.349	0.01	12.311	0.018	11.895	0.025
1.502	13.47	0.025	12.382	0.014	11.311	0.038	10.895	0.039
0.828	15.279	0.012	14.352	0.011	13.525	0.03	13.171	0.03
1.134	14.74	0.012	13.675	0.009	12.714	0.028	12.308	0.029
1.166	14.446	0.009	13.35	0.009	12.481	0.02	12.056	0.021
1.316	13.771	0.033	12.862	0.009	11.889	0.038	11.552	0.04
1.085	14.958	0.012	13.895	0.011	12.938	0.023	12.541	0.024
1.161	14.208	0.01	13.231	0.01	12.375	0.033	12.004	0.034
0.924	15.153	0.012	14.214	0.012	13.364	0.023	13.01	0.024
1.035	14.698	0.012	13.757	0.01	12.913	0.029	12.566	0.03
1.243	14.243	0.009	13.186	0.009	12.281	0.042	11.884	0.042
1.029	14.891	0.011	13.86	0.009	12.934	0.02	12.55	0.021
1.101	14.541	0.018	13.584	0.011	12.712	0.043	12.359	0.044
1.086	14.67	0.011	13.691	0.01	12.733	0.024	12.369	0.025
1.348	14.162	0.014	13.013	0.01	11.987	0.029	11.56	0.03
1.411	13.77	0.009	12.714	0.01	11.706	0.024	11.314	0.025
0.987	14.761	0.012	13.827	0.01	12.969	0.023	12.625	0.024
1.235	13.967	0.019	13.01	0.011	12.146	0.034	11.791	0.035
1.314	14.437	0.009	13.317	0.011	12.32	0.03	11.904	0.031
1.203	14.262	0.013	13.341	0.011	12.444	0.027	12.107	0.028
0.971	14.889	0.01	13.96	0.01	13.135	0.022	12.796	0.022
0.868	15.125	0.013	14.216	0.011	13.359	0.021	13.027	0.022
0.92	15.046	0.015	14.101	0.012	13.26	0.023	12.917	0.024
1.111	14.519	0.016	13.549	0.011	12.67	0.018	12.317	0.019
1.676	12.944	0.026	11.861	0.014	10.896	0.023	10.483	0.025
1.104	14.727	0.013	13.691	0.012	12.725	0.028	12.347	0.029
1.242	14.369	0.014	13.249	0.011	12.26	0.031	11.85	0.032
1.101	14.628	0.015	13.617	0.011	12.749	0.023	12.382	0.024
1.022	14.855	0.011	13.817	0.01	12.908	0.021	12.529	0.022
1.492	13.471	0.018	12.403	0.008	11.445	0.045	11.053	0.045
1.723	12.305	0.016	11.297	0.011	10.436	0.073	10.067	0.073
1.16	14.464	0.009	13.447	0.009	12.485	0.023	12.119	0.024
1.266	14.455	0.011	13.348	0.009	12.284	0.021	11.873	0.022
1.482	13.564	0.016	12.452	0.008	11.467	0.021	11.06	0.022
1.27	14.135	0.014	13.061	0.011	12.097	0.025	11.706	0.026
1.074	14.52	0.008	13.592	0.009	12.744	0.053	12.41	0.053
0.899	14.713	0.01	13.907	0.011	13.134	0.053	12.853	0.054
0.834	15.128	0.012	14.278	0.012	13.529	0.026	13.222	0.027
0.838	15.386	0.011	14.438	0.012	13.582	0.031	13.24	0.031
0.862	14.965	0.011	14.139	0.012	13.382	0.019	13.088	0.02
0.897	15.324	0.01	14.324	0.011	13.468	0.026	13.102	0.026
0.938	14.879	0.009	13.954	0.01	13.138	0.031	12.803	0.031
0.83	15.663	0.013	14.622	0.015	13.686	0.03	13.31	0.031
1.01	14.829	0.01	13.841	0.009	13.028	0.027	12.669	0.027
0.876	15.098	0.011	14.171	0.011	13.339	0.024	13.007	0.025
0.789	15.581	0.012	14.607	0.013	13.719	0.031	13.368	0.032
0.912	14.69	0.014	13.876	0.01	13.16	0.023	12.872	0.024
0.828	15.147	0.012	14.287	0.011	13.475	0.025	13.169	0.026
1.13	14.636	0.016	13.62	0.011	12.671	0.019	12.306	0.021
1.123	14.329	0.017	13.379	0.01	12.59	0.023	12.248	0.024
1.334	14.151	0.008	12.959	0.009	11.925	0.034	11.491	0.034
1.191	14.894	0.017	13.693	0.012	12.631	0.033	12.198	0.034
1.504	13.337	0.025	12.251	0.014	11.314	0.035	10.928	0.036
1.144	14.18	0.01	13.272	0.01	12.428	0.026	12.111	0.027
0.939	14.833	0.019	13.957	0.015	13.157	0.028	12.846	0.03
1.372	13.717	0.013	12.716	0.017	11.816	0.02	11.463	0.022
1.118	14.868	0.013	13.763	0.01	12.753	0.028	12.357	0.028
0.782	15.498	0.021	14.583	0.015	13.683	0.029	13.356	0.031
0.972	16.659	0.022	15.055	0.017	13.509	0.026	12.917	0.028
0.832	15.642	0.015	14.538	0.013	13.593	0.029	13.193	0.03
0.885	16.166	0.02	14.832	0.016	13.61	0.023	13.123	0.025
0.889	14.779	0.022	13.946	0.011	13.229	0.019	12.939	0.022
0.872	15.061	0.011	14.136	0.01	13.327	0.025	13	0.025
1.448	13.615	0.018	12.581	0.014	11.697	0.025	11.325	0.027
0.867	15.246	0.011	14.32	0.012	13.495	0.038	13.167	0.039
