9.882	1.04	22.93	0.4	9.166
19.62	1.06	22.83	0.28	9.176
17.25	1.02	22.57	0.27	9.17
12.8	1.1	23.23	0.33	9.173
12.49	1.32	22.95	0.29	9.162
6.758	1.02	24.16	0.38	9.057
19.16	1.05	21.91	0.37	9.182
11.09	0.99	23.12	0.4	9.192
14.1	1.23	23.1	0.24	9.156
19.56	1.08	22.81	0.23	9.114
11.27	0.98	23.02	0.29	9.178
15.37	1	23	0.26	9.144
32.92	1.18	22.06	0.16	9.084
18.09	0.93	23.09	0.25	9.167
20.6	1.19	22.59	0.22	9.184
14.04	0.96	23.1	0.26	9.097
14.48	1.35	22.73	0.3	9.172
10.96	1.19	23.01	0.32	9.16
10.38	1.05	23.25	0.38	9.177
10.46	1.32	22.68	0.41	9.174
11.52	1.05	22.96	0.36	9.183
23.08	1.09	22.4	0.22	9.181
19.31	1.55	22.69	0.29	9.179
5.98	1.05	23.93	0.39	9.177
24.6	1.13	22.5	0.21	9.184
17.77	1.1	22.79	0.22	9.142
10.95	0.89	23.19	0.37	9.181
24.84	1.2	22.53	0.21	9.171
15.03	1	23.31	0.26	9.115
10.76	1.1	22.87	0.4	9.169
27.25	1.2	22.52	0.17	9.166
18.36	0.9	22.75	0.34	9.199
18.82	1.07	22.74	0.21	9.191
10.59	0.96	22.91	0.22	9.137
12.86	1.16	22.71	0.3	9.179
31.54	1.42	21.73	0.18	9.196
7.364	0.95	24.18	0.36	9.104
11.15	1.4	23.59	0.35	9.177
11.39	1.01	23.83	0.31	9.133
5.066	1.1	24.22	0.55	9.089
29.04	0.95	22.23	0.47	9.188
10.69	0.96	22.96	0.29	9.176
15.05	1.23	23.4	0.27	9.151
9.95	0.88	23.55	0.36	9.106
9.064	0.99	23.28	0.29	9.172
12.3	0.98	22.88	0.33	9.156
9.65	1.1	23.52	0.3	9.125
17.06	1.01	23.25	0.24	9.14
5.261	0.9	24.24	0.47	9.126
26.61	0.96	22.28	0.17	9.117
13.93	1.02	23.26	0.28	9.152
24.65	1.22	22.5	0.18	9.152
7.876	1	24.01	0.52	9.17
9.278	0.81	23.73	0.3	9.157
7.673	0.93	24.15	0.43	9.167
71.3	1.07	21.14	0.15	9.126
16.91	0.91	23.03	0.23	9.137
12.18	0.93	23.24	0.3	9.143
12.91	1.11	23.72	0.24	9.142
10.26	0.93	23.21	0.45	9.15
26.46	0.99	21.95	0.21	9.187
5.566	1.06	24.59	0.42	9.143
14.32	1.08	22.54	0.27	9.113
25.27	1.34	22.26	0.2	9.142
17.19	1.35	22.72	0.2	9.109
6.608	0.86	23.91	0.3	9.071
7.459	0.9	23.84	0.33	9.11
17.18	1.37	23.33	0.19	9.079
13.67	0.95	22.98	0.3	9.072
19.46	1.23	22.97	0.2	9.087
74.88	1.04	20.93	0.15	9.12
76.78	1.21	20.79	0.15	9.114
7.151	1.09	23.82	0.39	9.149
19.55	1.01	22.65	0.21	9.142
19.21	1.05	22.8	0.22	9.136
7.977	0.9	23.91	0.29	9.122
29.52	1.54	22.42	0.17	9.093
15.2	1.03	22.52	0.22	9.063
14.03	1.01	22.8	0.24	9.092
6.08	0.82	24.1	0.43	9.092
26.25	1.47	22.74	0.17	9.08
26.12	1.01	22.08	0.17	9.106
23.04	1.16	22.28	0.21	9.133
10.5	1.17	23.32	0.35	9.136
44.7	1.37	21.54	0.16	9.157
24.05	1.44	22.52	0.23	9.142
10.68	0.86	23.43	0.34	9.126
6.163	0.99	24.55	0.51	9.141
10.86	1.05	23.05	0.4	9.142
11.38	0.96	23.78	0.32	9.14
12.9	0.91	23.19	0.35	9.105
15.51	1.21	23.28	0.2	9.083
6.86	0.81	23.97	0.39	9.124
6.059	0.97	23.64	0.39	9.083
9.372	0.88	24.04	0.34	9.099
20.49	0.89	22.22	0.18	9.069
34.87	1.3	22.33	0.17	9.109
11.3	0.97	23.53	0.23	9.082
11.27	0.96	23.38	0.26	9.112
18.25	0.99	22.59	0.19	9.102
8.779	0.99	23.92	0.27	9.077
14.43	0.86	22.62	0.18	9.085
14.12	1.09	23.28	0.28	9.118
26.9	1.26	22.54	0.16	9.061
6.378	0.84	24.38	0.39	9.073
16.43	1.3	23.25	0.21	9.123
18.27	1.04	22.06	0.33	9.173
13.93	1.06	22.42	0.28	9.173
12.78	0.99	23.49	0.26	9.167
17.97	0.93	23.17	0.24	9.069
29.48	0.78	25.74	0.41	8.802
32.59	1.44	25.18	0.48	8.684
34.98	1.48	24.79	0.38	8.831
40.42	1.27	24.76	0.44	8.766
50.08	1.3	25.06	0.35	8.635
58.28	1.64	25.28	0.27	8.641
61.85	1.63	24	0.31	8.666
62.12	1.22	24.41	0.4	8.905
63.86	1.33	24.36	0.25	8.621
70.41	1.4	24.23	0.3	8.985
74.43	1.19	24.69	0.32	9.039
74.61	1.25	24.26	0.21	8.499
87.33	1.13	23.96	0.17	8.704
97.49	1.24	23.82	0.22	9.033
38.1	1.08	25.46	0.22	8.582
39.31	1.34	25.31	0.42	8.722
39.42	1.14	25.28	0.24	8.793
39.5	1	25.19	0.24	8.758
39.83	1.22	25.56	0.26	8.866
40.84	1.4	24.57	0.55	8.974
41.02	1.15	25.07	0.18	8.646
41.77	1.23	24.45	0.45	9.037
41.94	1.05	24.24	0.5	8.987
42.11	1.03	24.49	0.28	8.86
44.14	1.11	25.34	0.57	8.825
44.32	1.65	24.54	0.34	8.975
44.6	0.89	24.95	0.22	8.739
44.3	1.39	24.12	0.45	8.866
45.45	1.02	24.64	0.24	8.828
47.59	1.34	24.78	0.53	8.841
47.82	0.95	24.76	0.33	8.715
48.18	1.23	24.88	0.43	8.745
47.87	1.31	23.84	0.62	8.862
48.45	1.52	24.85	0.3	8.743
49.57	1.35	25.16	0.23	8.84
50.82	1.25	24.92	0.49	9.074
51.38	1.14	24.75	0.24	8.849
51.43	0.8	24.6	0.6	8.922
52.02	1.41	24.34	0.18	8.734
52.5	1.11	24.57	0.4	8.95
54.07	0.89	24.65	0.65	8.963
56.82	1.13	24.77	0.25	8.934
58.92	1.31	25.03	0.33	8.978
58.97	1.66	24.83	0.43	8.902
64.63	1.54	24.58	0.33	8.726
64.84	1.32	23.75	0.54	8.983
64.2	1.32	24.32	0.19	8.688
67.7	1.18	24.61	0.19	8.854
57.92	1.4	24.53	0.35	8.967
69.33	1.11	24.57	0.22	8.804
69.3	1.09	24.31	0.21	8.914
